year,title,status,public_pdf_in_zip,folder,filename,agreements,sha256,size_bytes,evidence_basis,ack_or_funding_excerpt,notes
2020,A Polyimide Based Force Sensor Fabricated Using Additive Screen-Printing Process for Flexible Electronics,included_public_pdf,yes,public_pdfs,2020_A_Polyimide_Based_Force_Sensor_Fabricated_Using_Additive_Screen_Printing_Process_for_Flexible_Electronics.pdf,FA8650-15-2-5401,24d609215f6d8905e8f3198502109cb565c0d78548f625c291d27d523de44b60,2601218,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"was supported in part by the U.S. Air Force Research Laboratory through the Flexible Hybrid Electronics Manufacturing Innovation Institute, NextFlex, under Grant FA8650-15-2-5401, and in part by the NSF under Award 1701157. ABSTRACT A flexible capacitive force sensor was developed for force sensing applications. The force sensor consists of two electrodes and a dielectric layer. The electrodes were fabricated by depositing conductive silver (Ag) ink on a flexible polyimide platform using screen-printing process. The dielectric layer was prepare",PDF support statement explicitly mentions NextFlex.
2020,Design and Integration of a Wireless Stretchable Multimodal Sensor Network in a Composite Wing,included_public_pdf,yes,public_pdfs,2020_Chen_Design_and_Integration_of_a_Wireless_Stretchable_Multimodal_Sensor_Network_in_a_Composite_Wing.pdf,FA8650-15-2-5401,a815bbb679f0c0cf01b2f81e6b2ee38f2ef7240326d96d6f1573d9cb011a9c96,3266803,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"t commands to set register values on the ADC, such as sampling speed, filtering, and channel configuration. The ADC, in turn, will transmit acknowledgment messages and data back to the micro-controller. To synchronize the data as much as possible, the ADC was configured in a continuous sampling mode. This configuration maximizes the net data acquisition speed for a group of 7 points (representing the three strain and four temperature sensors), which also minimizes the latency between the first and last collected data points. This results in the closest p",PDF funding statement explicitly says funded by the NextFlex Institute.
2020,Integrated sensing and delivery of oxygen for next-generation smart wound dressings,included_public_pdf,yes,public_pdfs,2020_Ochoa_Integrated_sensing_and_delivery_of_oxygen.pdf,FA8650-15-2-5401,6f54626396234c530d37cf5781bcfcbeda47c12658175aeffe14edb6c577482e,2231256,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"(Ocean Optics). about the midline by punching through both sides of a fold Acknowledgements of skin with a #8 biopsy punch. Two donut-shaped silicone The authors thank the staff of the Birck Nanotechnology Center for their splints (14 mm outer diameter, 10 mm inner diameter, 0.5- support. Funding for this work was provided by NextFlex under AFRL mm thick; Grace Bio-Labs) were afﬁxed to the skin sur- Cooperative Agreement No. FA8650-15-2-5401. rounding the wounds using t",PDF funding statement explicitly says funding was provided by NextFlex.
2020,"Printed, flexible, compact UHF-RFID sensor tags enabled by hybrid electronics",included_public_pdf,yes,public_pdfs,2020_Baumbauer_Printed_flexible_compact_UHF_RFID_sensor_tags.pdf,FA8650-15-2-5401,8e422e85ff1be2b7fef09e8862aaf3a0c366af8d534ddd59afb2aab60d180d2f,1820806,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"ission-line transformers and tunable passives. IEEE Microw. Wirel. Compon. Lett. 29, 158–160 (2019). Acknowledgements The project leading to this application has received funding from the European Union’s Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No 665501 with the Research Foundation Flanders (FWO). A.T. is an FWO [­ PEGASUS]2 Marie Sklodowska-Curie",PDF acknowledgement explicitly mentions NextFlex.
2021,Electrically Conductive Adhesive Interconnections on Additively Printed Substrates,included_public_pdf,yes,public_pdfs,2021_Electrically_Conductive_Adhesive_Interconnections_on_Additively_Printed_Substrates.pdf,FA8650-15-2-5401,d45c5a8eeccaf521e03440cfcbd8ef4d5a604f7f56f9ad8ed3a98faf8f58ef37,3484890,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"e Scott Miller Auburn University Auburn University Auburn University NextFlex National Manufacturing NSF-CAVE3 Electronics NSF-CAVE3 Electronics NSF-CAVE3 Electronics Institute Research Center Research Center Research Center San Jose, CA 95131, USA Department of Mechanical Department of Mechanical Department of Mechanical Engineering",PDF acknowledgement explicitly cites NextFlex PC 4.5 sponsorship.
2021,Low Temperature Solder Interconnection of Surface Mount Devices with Additively Printed Pads on Flexible Substrate,included_public_pdf,yes,public_pdfs,2021_Low_Temperature_Solder_Interconnection_of_Surface_Mount_Devices.pdf,FA8650-15-2-5401,9110acce7cd8bcb8e6336bf66e35abe52eb6bab12f223bc896e3cc464e0ca377,1540895,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"e Scott Miller Auburn University Auburn University Auburn University NextFlex National Manufacturing NSF-CAVE3 Electronics NSF-CAVE3 Electronics NSF-CAVE3 Electronics Institute Research Center Research Center Research Center San Jose, CA 95131, USA Department of Mechanical Department of Mechanical Department of Mechanical Engineering",PDF acknowledgement explicitly cites NextFlex PC 4.5 sponsorship.
2021,On the bending effects of a printed 4x4 antenna array,included_public_pdf,yes,public_pdfs,2021_On_the_bending_effects_of_a_printed_4x4_antenna_array.pdf,FA8650-15-2-5401,a5272358921bfe078152d2f7679273e0b1705704d2ad5d2026802c01675e6afb,1722667,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"Research Laboratory under agreement number FA8650-15-2-5401, as [31], [32]; however, to the authors knowledge there has not been conducted through the flexible hybrid electronics manufacturing innovation",PDF acknowledgement explicitly mentions NextFlex.
2022,Comparison of Component Assembly Process-Reliability Relationships of Low-Temperature Solders and ECAs on Flexible Direct-Write Additive Circuits,included_public_pdf,yes,public_pdfs,2022_Comparison_of_Component_Assembly_Process_Reliability_Relationships_of_Low_Temperature_Solders_and_ECAs.pdf,FA8650-20-2-5506,23f02f3379843fc7f2138cce608eaf9668a4b38a9bc6cf8d9bd0a546d743bfad,4503878,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"Tele: +1(334)844-3424 Scott Miller NextFlex Manufacturing Institute San Jose, CA 95131 ABSTRACT form-factors for electronics product design is a byproduct of Fabrication of additively printed flexible hybrid circuits the miniaturization of electronics. Traditional electronics requires the development of component attachment methods",PDF acknowledgement explicitly cites NextFlex PC 6.4 sponsorship.
2022,Fiber Optic Sensing Textile for Strain Monitoring in Composite Substrates,included_public_pdf,yes,public_pdfs,2022_Biondi_Fiber_Optic_Sensing_Textile_for_Strain_Monitoring_in_Composite_Substrates.pdf,FA8650-15-2-5401,104d5144ef0cc95d694df867dd719c41e9f6c2f8e0b038a18e8beb115677a0d0,1155776,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"l draft, A.B.; Writing—review & editing, R.W., B.G., M.M. and X.W.; Project administration, C.G., M.M. and J.D.W.; Funding acquisition, C.G., J.D.W. and X.W. All authors have read and agreed to the published version of the manuscript. Sensors 2022, 22, 9262 10 of 12 Funding: This material is based on research sponsored, in part, by Air Force Research Labora",PDF funding statement explicitly mentions NextFlex.
2022,Surface-passivated Cu conductors for high-temperature sulfurous environments,included_public_pdf,yes,public_pdfs,2022_Surface_passivated_Cu_conductors_for_high_temperature_sulfurous_environments.pdf,FA8650-20-2-5506,65d7f27eb7fedd0ad6d6c2fb0f810e51b5abc1455b54550fcf03989a1adc22c7,1201914,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"2012, 12, 3193–3199. Acknowledgements 17 Z. Chen, S. Ye, I. E. Stewart and B. J. Wiley, ACS Nano, 2014, 8, 9673–9679.",PDF acknowledgement explicitly mentions NextFlex.
2023,Evaluation of Additive Circuits Printed With Sustainable Aqueous Silver Inks Using Aerosol Jet Printing and Gravure Offset Printing and Investigation of Circuit Repairability,included_public_pdf,yes,public_pdfs,2023_Evaluation_of_Additive_Circuits_Printed_With_Sustainable_Aqueous_Silver_Inks.pdf,FA8650-20-2-5506,b607b5f3c017cfe1b7418fbe31337eda7b4377688d03f2b3a6bcb322db1c55fa,2042754,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"Scott Miller Auburn University Auburn University Nextflex Manufacturing Institute NSF-CAVE3 Electronics Research NSF-CAVE3 Electronics Research San Jose, CA Center Center Department of Mechanical Engineering Department of Mechanical Engineering Auburn, AL Auburn, AL Email – lall@a",PDF acknowledgement explicitly cites NextFlex PC 7.3 sponsorship.
2024,3D Aerosol Jet Printed Interconnects for Bare Die Components,included_public_pdf,yes,public_pdfs,2024_3D_Aerosol_Jet_Printed_Interconnects_for_Bare_Die_Components.pdf,FA8650-20-2-5506,fe328a6b9860054694379beb2c403a54c13bea3f66cbee8a16568d69a8f32a79,1623853,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"considered adequate for a RF friendly material. Additionally, other projects with NextFlex have demonstrated the repeatability and reliability of printing RF Given the stability of the process variables observed, we traces in the form of co-planar wave guides. These devices elected to utilize the UV-cure process for this project. This demonstrated consistent performance up to 20 GHz, even choice is primarily driven by its in-situ curing capability, after thermal cycling from",PDF acknowledgement explicitly mentions NextFlex.
2024,Sensors and Process-Performance Interactions for Additive In-Mold Electronics in Automotive Applications,included_public_pdf,yes,public_pdfs,2024_Sensors_and_Process_Performance_Interactions_for_Additive_In_Mold_Electronics.pdf,FA8650-20-2-5506,a3e829b5f07711da3c84bfe8f686e4577acc4d91d6e3068e695b49efd5c4078f,2210339,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"lall@auburn.edu Scott Miller NextFlex National Manufacturing Institute CA, USA ABSTRACT harnesses weighing up to 36 kg [3], [4], posing challenges due The development of additively manufactured electronics to stricter CO2 emission standards [5]. To address this, there's processes has made it possible to integrate safety",PDF acknowledgement explicitly cites NextFlex PC 7.6 sponsorship.
2025,"Dynamic beam-stabilized, additive-printed flexible antenna arrays with on-chip rapid insight generation",included_public_pdf,yes,public_pdfs,2025_Poolakkal_Dynamic_beam_stabilized_flexible_antenna_arrays.pdf,FA8650-20-2-5506,05347db2f4bccf5ff50a91d499ad5fc7b64e1c3764cf64475f7b7b541944935a,6437715,Downloaded public PDF; local text extraction shows explicit NextFlex funding/acknowledgment wording.,"Mizrahi, O. S. & Hajimiri, A. A framework for array shape reconstruction through mutual coupling. IEEE Trans. Microw. The- Acknowledgements ory Tech. 69, 4422–4436 (2021). This material is based on research sponsored, in part, by Air Force 16. Fikes, A.C., Safaripour, A., Bohn, F., Abiri, B. & Hajimiri, A. Flexible, Research Laboratory under agreement number FA8650-20-2-5506, as conformal phased arrays with dynamic array shape self-calibration. conducted through the ﬂex",PDF acknowledgement explicitly mentions NextFlex.
2019,Process Design Kit and Design Automation for Flexible Hybrid Electronics,alternate_public_pdf_duplicate_source,yes,alternate_versions,2019_Huang_Process_Design_Kit_and_Design_Automation_for_Flexible_Hybrid_Electronics_IEEE.pdf,FA8650-15-2-5401,2fbc87013d9a1ccd1c9f5a0bb3740d6a08ffe23b975a64279d14d1f99dd0c10d,1549714,Downloaded alternate public PDF for a paper already included above.,"ain amplifier based on Pseudo-CMOS inverters. The total physical size of 350x350 μm2 and the voltage gain can VI. ACKNOWLEDGMENT be adjusted with VTUNE. This material is based, in part, on research sponsored by Air Force Research Laboratory under agreement number FA8650-15-2-5401, as conducted through the flexible hybrid",Alternate public PDF for the 2019 conference paper; same publication as the DATE paper above.
2020,Interfacial mixed-mode fracture toughness characterization of flexible hybrid electronics,verified_online_no_public_pdf_downloaded,no,,,FA8650-15-2-5401,,,Verified online from publisher page or search-result snippet with explicit NextFlex wording.,,ScienceDirect search result text explicitly mentions AFRL agreement FA8650-15-2-5401 as conducted through NextFlex.
2022,Printed electronics for extreme high temperature environments,verified_online_no_public_pdf_downloaded,no,,,FA8650-15-2-5401,,,Verified online from publisher page or search-result snippet with explicit NextFlex wording.,,ScienceDirect page text explicitly mentions AFRL agreement FA8650-15-2-5401 as conducted through NextFlex.
2025,Closing the loop on pneumatic atomization for shift-length aerosol jet printing with real-time light scattering measurements,verified_online_no_public_pdf_downloaded,no,,,FA8650-20-2-5506,,,Verified online from publisher page or search-result snippet with explicit NextFlex wording.,,ScienceDirect page text explicitly mentions NextFlex Project Call 8.6.1 and AFRL agreement FA8650-20-2-5506.
2025,Hybrid additive manufacturing of flexible copper radiofrequency electronics,verified_online_no_public_pdf_downloaded,no,,,FA8650-15-2-5401; FA8650-20-2-5506,,,Verified online from publisher page or search-result snippet with explicit NextFlex wording.,,Search results explicitly mention that the work was sponsored under both AFRL agreements through NextFlex.
2026,Comparative Performance Analysis of Screen-Printed Structures on Polyethylene Terephthalate and BPET Substrates Utilizing Low-Temperature Electrically Conductive Adhesive and MACA for Surface Mount Device Component Attachment,verified_online_no_public_pdf_downloaded,no,,,FA8650-20-2-5506,,,Verified online from publisher page or search-result snippet with explicit NextFlex wording.,,Publisher/search-result text explicitly mentions AFRL agreement FA8650-20-2-5506 as conducted through NextFlex.
2025,Geometric modeling of knitted fabrics,public_pdf_found_download_failed,no,,,FA8650-20-2-5506,,,Verified online from publisher page or search-result snippet with explicit NextFlex wording.,,Search results explicitly mention AFRL agreement FA8650-20-2-5506 as conducted through NextFlex; a public PNAS PDF was discoverable but could not be fetched from this environment.
2018,A manufacturable smart dressing with oxygen delivery and sensing capability,excluded_not_explicit_enough,no,,2018_Ochoa_A_manufacturable_smart_dressing_with_oxygen_delivery_and_sensing_capability.pdf,,ace778b1b4f2e0b1a6fb5675c423303edcafa0ea96ca78e783ee8fd4c340832f,1578285,"Downloaded public PDF reviewed locally, but it did not meet the strict explicit-NextFlex criterion.",,"Public PDF downloaded, but I did not find an explicit NextFlex funding/acknowledgment statement in the accessible PDF text."
2018,Process Design Kit for Flexible Hybrid Electronics,excluded_not_explicit_enough,no,,2018_Process_Design_Kit_for_Flexible_Hybrid_Electronics.pdf,,f96343d19cd5e878012fa7e8019d3b0b9ef2af132962b298eaa89d90ad5b3ab7,1399254,"Downloaded public PDF reviewed locally, but it did not meet the strict explicit-NextFlex criterion.","g Innovation Institute for Flexible Hy- stable n-type CNT-TFTs remains a longstanding challenge. In brid Electronics, aka NextFlex, to develop FHE-PDK to enable this paper, we use p-type CNT-TFTs as an exemplar driver for an open ecosystem for FHE design-manufacture-application. FHE-PDK development. In this paper, we ﬁrst introduce the key devices our FHE- A typical transfer curve of the drain current (IDS ) versus th","Public PDF downloaded, but the accessible PDF text did not clearly acknowledge NextFlex itself as the grant/funding source."
2023,The role of Surface Roughness on the Electrical behavior of Flexible and Stretchable Screen-printed Silver ink,excluded_not_explicit_enough,no,,2023_The_role_of_Surface_Roughness_on_the_Electrical_behavior_of_Flexible_and_Stretchable_Screen_printed_Silver_ink.pdf,,fd4b43f9d95c1084ca64c05f7214d9ba11a08df92947e5a55f0020dfc1c2629c,3465414,"Downloaded public PDF reviewed locally, but it did not meet the strict explicit-NextFlex criterion.","Center for Advanced Microelectronics Manufacturing (CAMM), State University of New York at 23 Binghamton, USA 4 NextFlex Manufacturing Innovation Institute, San Jose, CA, USA 24 25 E-mail: mpoliks@binghamton.edu 26 27 28 29 Received xxxxxx Accepted for publication xxxxxx Published xxxxxx an 30 31 Abstract 32 Changes in the morphology and profile of the printed electronic traces affect the radio","Public PDF downloaded, but accessible text only showed NextFlex as an affiliation/project context, not a clear NextFlex funding acknowledgement."
